;ZufallsZahl
0;25.0
1;23.8
2;27.4
3;28.2
4;28.0
5;27.4
6;26.5
7;21.1
8;29.7
9;26.3
10;27.0
11;28.3
12;29.1
13;26.5
14;26.6
15;24.0
16;25.6
17;23.4
18;23.7
19;23.3
20;25.1
21;28.1
22;33.4
23;26.0
24;22.1
25;28.7
26;24.7
27;23.8
28;26.0
29;22.4
30;26.1
31;25.3
32;25.7
33;26.5
34;25.7
35;25.5
36;26.2
37;26.5
38;22.9
39;21.9
40;25.3
41;21.9
42;25.7
43;27.8
44;27.0
45;22.9
46;23.3
47;26.3
48;24.5
49;24.7
50;27.0
51;23.0
52;24.5
53;23.5
54;22.9
55;23.4
56;27.2
57;25.6
58;23.3
59;24.9
60;21.4
61;23.7
62;30.9
63;25.3
64;27.3
65;25.3
66;26.4
67;27.2
68;22.7
69;25.4
70;29.4
71;23.5
72;24.1
73;24.7
74;26.2
75;26.8
76;28.7
77;26.7
78;25.3
79;28.6
80;27.3
81;21.8
82;31.8
83;29.9
84;25.1
85;26.4
86;28.8
87;25.1
88;27.3
89;28.3
90;23.0
91;24.0
92;27.8
93;26.7
94;27.8
95;25.2
96;24.8
97;20.5
98;22.6
99;25.6
100;27.6
101;26.8
102;25.2
103;24.8
104;26.0
105;25.7
106;29.0
107;25.9
108;21.8
109;22.3
110;29.3
111;22.6
112;27.4
113;24.8
114;25.1
115;25.2
116;28.6
117;25.0
118;25.4
119;21.7
120;26.0
121;26.8
122;26.1
123;29.0
124;25.6
125;26.2
126;29.6
127;21.6
128;24.4
129;29.1
130;27.8
131;27.2
132;27.6
133;26.3
134;29.6
135;26.4
136;26.1
137;25.9
138;26.0
139;22.6
140;27.4
141;25.2
142;30.1
143;25.3
144;26.6
145;26.1
146;23.9
147;28.0
148;30.3
149;25.5
150;24.7
151;24.6
152;20.8
153;25.1
154;26.1
155;28.1
156;27.9
157;24.5
158;24.8
159;28.3
160;25.1
161;24.2
162;29.0
163;28.1
164;25.5
165;24.0
166;20.5
167;27.0
168;23.3
169;20.6
170;29.5
171;27.1
172;22.7
173;22.5
174;27.7
175;23.3
176;28.7
177;27.0
178;26.8
179;26.5
180;26.0
181;27.7
182;24.4
183;25.7
184;27.4
185;26.9
186;22.5
187;24.2
188;26.1
189;24.5
190;29.9
191;24.5
192;25.1
193;27.4
194;26.3
195;25.1
196;23.6
197;26.3
198;28.1
199;26.7
200;23.6
201;29.8
202;21.9
203;21.5
204;27.9
205;26.1
206;24.1
207;22.8
208;31.3
209;25.8
210;26.8
211;26.3
212;26.6
213;26.9
214;27.3
215;24.6
216;24.8
217;21.1
218;23.5
219;26.2
220;28.1
221;27.0
222;24.6
223;22.3
224;18.6
225;28.4
226;24.0
227;24.4
228;25.8
229;22.0
230;24.6
231;30.6
232;26.8
233;26.4
234;21.5
235;31.1
236;21.9
237;30.3
238;20.2
239;29.0
240;29.5
241;23.4
242;26.6
243;26.9
244;23.5
245;21.9
246;22.2
247;26.9
248;25.3
249;24.1
250;27.9
251;26.8
252;23.6
253;22.5
254;26.8
255;24.2
256;25.7
257;29.4
258;26.8
259;23.3
260;25.9
261;23.1
262;29.5
263;24.1
264;26.0
265;26.3
266;25.9
267;20.6
268;21.9
269;24.4
270;26.3
271;25.2
272;23.1
273;22.1
274;24.5
275;24.3
276;26.8
277;24.7
278;27.0
279;24.0
280;24.9
281;24.6
282;23.5
283;27.1
284;23.5
285;24.2
286;25.3
287;22.3
288;24.7
289;23.7
290;24.5
291;25.4
292;23.5
293;24.9
294;28.8
295;25.4
296;28.4
297;26.4
298;27.4
299;23.6
300;25.8
301;25.8
302;24.0
303;23.4
304;21.8
305;29.2
306;23.1
307;28.9
308;24.3
309;23.3
310;27.1
311;23.9
312;26.9
313;24.7
314;26.7
315;23.1
316;27.6
317;26.7
318;23.2
319;32.1
320;26.9
321;31.2
322;29.5
323;25.0
324;24.5
325;24.5
326;20.9
327;23.8
328;26.1
329;29.3
330;23.6
331;27.7
332;22.4
333;24.0
334;24.4
335;26.4
336;26.6
337;27.9
338;27.4
339;26.1
340;26.5
341;29.5
342;24.2
343;27.4
344;21.0
345;26.5
346;24.3
347;25.5
348;28.1
349;25.9
350;27.7
351;29.2
352;26.5
353;28.4
354;24.7
355;25.5
356;24.2
357;28.1
358;26.5
359;24.2
360;25.9
361;28.1
362;25.4
363;23.1
364;25.8
365;20.5
366;27.4
367;24.4
368;24.3
369;27.7
370;22.1
371;30.4
372;24.3
373;24.2
374;28.1
375;27.3
376;31.6
377;25.0
378;25.2
379;21.8
380;24.7
381;23.7
382;24.4
383;21.1
384;29.7
385;22.0
386;18.5
387;22.5
388;24.0
389;22.6
390;28.2
391;25.2
392;25.6
393;27.0
394;26.2
395;27.9
396;22.7
397;24.1
398;27.2
399;19.2
400;22.1
401;26.8
402;24.3
403;27.8
404;27.5
405;22.5
406;26.5
407;28.5
408;25.9
409;23.1
410;27.7
411;27.1
412;26.9
413;27.3
414;18.0
415;27.7
416;30.0
417;26.6
418;26.0
419;27.2
420;26.3
421;27.1
422;25.5
423;23.6
424;23.0
425;23.0
426;22.1
427;22.8
428;29.9
429;27.4
430;23.9
431;24.5
432;25.8
433;23.9
434;25.7
435;27.4
436;25.4
437;26.3
438;27.7
439;24.8
440;26.2
441;24.7
442;25.4
443;24.7
444;24.2
445;25.9
446;26.9
447;25.9
448;26.7
449;23.7
