Index;Masse
0;104.9
6;105.2
10;104.4
14;103.4
21;103.4
38;105.0
43;105.1
47;106.3
61;103.8
66;103.4
67;104.6
68;106.6
89;103.4
90;103.6
101;103.7
118;103.4
122;103.8
123;105.9
125;103.7
126;104.9
152;103.1
153;106.6
168;106.6
172;107.6
176;104.0
183;103.9
190;103.5
192;105.7
193;103.3
199;103.1
203;105.9
209;105.9
212;103.3
218;104.2
220;104.9
222;104.7
225;107.3
233;105.4
248;105.4
253;105.8
256;106.2
265;103.6
271;104.6
277;103.7
279;104.2
300;106.2
305;104.9
310;103.4
312;104.2
314;109.1
327;103.6
329;103.5
331;103.4
334;104.4
341;103.8
374;105.5
376;106.4
391;105.3
399;106.3
403;103.7
409;103.3
411;106.2
412;105.3
417;103.3
421;104.8
424;106.2
430;103.6
431;103.3
434;103.4
437;103.1
439;105.4
443;104.1
449;104.4
451;103.4
454;103.3
462;103.1
467;105.3
473;105.6
484;104.4
486;103.6
487;105.1
488;103.1
510;105.1
519;103.3
520;104.3
523;105.3
526;103.9
529;104.2
530;104.9
547;103.7
548;103.9
555;103.1
557;104.4
562;104.2
565;111.9
573;105.6
579;103.3
584;103.5
586;105.2
593;105.1
595;104.4
599;104.2
609;104.4
616;103.7
622;103.5
641;103.2
650;104.3
652;104.7
653;103.6
656;103.2
667;104.0
683;107.5
684;105.8
696;103.1
697;103.7
701;103.7
703;104.3
707;103.9
715;104.5
729;103.1
732;110.0
750;104.6
752;103.9
760;104.6
763;105.1
774;103.1
784;103.7
794;103.3
796;103.3
807;105.6
809;104.7
814;107.2
816;103.5
840;104.5
845;106.9
849;103.1
853;103.1
855;107.3
870;103.2
872;105.0
873;104.3
881;103.2
887;105.1
906;105.8
908;105.4
910;103.5
911;103.2
922;104.1
930;104.9
940;103.2
943;105.4
948;103.7
959;103.4
974;104.4
994;103.9
1009;104.5
1013;103.4
1014;104.7
1025;104.3
1027;106.1
1032;103.5
1034;104.0
1036;107.7
1047;103.5
1048;104.8
1055;104.9
1057;104.9
1072;104.7
1073;107.1
1074;104.7
1076;103.5
1077;103.4
1084;104.9
1090;104.2
1098;103.5
1101;106.0
1109;103.4
1111;103.2
1119;105.4
1121;103.4
1132;106.7
1153;105.3
1158;103.4
1169;104.0
1171;105.7
1173;103.9
1191;105.7
1194;104.1
1205;103.4
1206;106.7
1209;105.8
1210;103.2
1224;103.1
1229;108.8
1230;103.3
1231;103.5
1232;103.9
1234;103.9
1244;105.6
1247;105.3
1252;104.5
1256;104.5
1257;105.0
1276;104.9
1277;103.5
1279;105.5
1300;103.2
1301;105.2
1307;103.7
1311;104.4
1324;104.2
1343;108.5
1349;104.3
1350;105.1
1369;104.0
1374;104.9
1387;106.0
1391;104.6
1394;108.1
1396;103.9
1401;103.7
1407;104.4
1417;107.3
1418;106.5
1420;104.1
1426;106.5
1438;104.0
1440;106.3
1445;106.5
1455;104.0
1456;104.2
1465;103.8
1466;106.1
1468;104.3
1473;104.0
1476;104.6
1478;105.2
1487;103.3
1491;106.0
1494;103.5
1498;105.7
