Index;Masse
3;96.8
5;93.1
11;93.8
15;96.7
20;96.7
36;96.6
52;96.6
69;95.8
70;95.7
75;93.9
104;96.7
110;95.9
115;96.1
117;95.2
124;94.4
128;96.4
132;96.3
137;96.6
151;92.7
159;96.6
169;94.3
180;96.2
195;95.1
204;96.0
205;94.7
206;95.0
208;96.6
211;96.0
214;96.3
224;96.3
235;96.3
236;96.5
238;95.0
243;95.8
249;96.1
252;91.6
255;96.9
261;95.4
276;95.7
288;96.7
301;95.6
336;93.9
337;94.2
338;92.5
339;93.7
349;96.5
362;94.2
367;91.7
378;94.7
382;95.4
390;95.7
394;96.9
396;94.4
400;96.1
406;93.6
414;92.8
415;94.7
419;93.7
441;94.9
442;96.5
476;94.1
477;95.8
481;96.7
494;95.3
497;93.3
498;96.7
500;94.8
513;96.5
538;94.6
542;95.3
544;93.3
545;94.9
549;96.5
551;95.5
553;95.6
564;95.1
568;95.8
582;96.7
589;92.5
600;96.8
604;95.6
608;96.0
614;94.2
617;96.8
621;94.5
629;95.5
630;96.8
642;96.7
644;96.9
646;94.3
647;96.6
659;96.0
661;91.6
668;96.9
670;94.3
682;96.4
685;95.8
698;96.5
706;96.0
709;95.5
711;93.1
720;93.8
724;96.2
738;91.9
739;96.4
742;95.3
761;96.6
762;96.7
765;94.4
768;93.6
779;94.1
781;96.7
785;94.2
790;93.7
795;96.3
802;95.6
811;96.8
824;96.8
843;95.6
847;96.9
863;95.8
871;94.9
892;90.8
894;95.3
897;95.6
899;95.5
912;96.9
919;96.5
935;95.3
945;95.7
949;96.6
963;96.0
964;96.1
973;93.1
976;92.0
996;93.2
1001;92.7
1004;95.5
1011;95.9
1012;95.8
1017;95.5
1018;94.2
1019;96.5
1040;93.5
1044;95.4
1045;95.4
1050;96.9
1052;94.1
1067;95.6
1070;93.9
1078;94.0
1089;94.7
1102;96.2
1103;96.0
1106;94.7
1116;93.1
1122;92.5
1130;94.6
1144;96.3
1165;95.9
1166;96.9
1168;94.8
1172;95.7
1178;96.0
1180;96.1
1197;95.7
1199;96.7
1239;95.3
1246;96.2
1250;96.9
1255;96.6
1270;96.4
1274;96.7
1275;96.4
1283;94.4
1284;96.7
1287;96.2
1299;93.9
1303;95.6
1308;95.8
1310;96.3
1321;96.1
1345;96.5
1352;92.5
1354;96.1
1356;96.6
1373;95.4
1375;96.0
1382;93.5
1390;96.5
1393;92.2
1395;96.7
1414;93.5
1423;96.3
1430;96.0
1436;95.4
1457;95.5
1459;96.4
1460;96.0
1463;90.5
1469;92.1
1470;96.9
1485;96.0
1489;91.0
1490;95.1
1499;95.9
