Oelverbrauch,Temperatur
9.6,21.5
7.4,21.0
7.5,14.4
6.9,21.2
8.9,20.6
5.7,20.0
9.7,19.1
7.2,21.7
8.3,19.2
7.8,23.7
9.5,21.1
5.9,24.3
7.7,18.4
7.6,16.5
9.1,21.4
6.9,21.7
7.8,20.1
7.1,16.9
8.0,19.1
8.6,21.2
6.9,19.6
9.1,19.8
8.9,19.6
8.5,18.1
8.9,18.9
7.3,17.1
7.9,23.5
7.1,19.0
7.7,21.0
8.5,18.0
7.3,21.6
7.6,16.3
7.3,21.8
7.2,19.9
7.3,24.2
8.0,17.4
6.9,20.2
8.2,20.7
9.7,22.5
8.7,19.2
7.8,20.2
7.1,15.7
7.3,18.3
9.7,20.9
8.1,22.2
7.4,19.4
8.2,24.1
10.1,23.5
8.1,19.9
8.6,15.2
8.3,16.4
7.6,18.4
6.9,22.2
7.7,20.6
7.8,15.8
8.6,19.5
8.8,23.2
8.9,19.3
8.3,18.5
8.9,24.1
7.2,20.1
9.3,19.0
8.5,20.7
7.7,20.0
8.5,19.1
7.9,22.4
9.1,22.2
9.5,21.7
10.2,19.8
6.6,22.3
6.6,19.9
7.5,20.9
8.2,22.1
8.9,21.6
8.3,23.6
6.0,20.9
7.7,16.6
8.8,17.7
8.2,22.7
8.8,19.3
7.8,20.8
7.8,18.3
8.2,22.0
8.4,19.2
8.2,22.9
8.1,18.9
7.3,22.2
8.4,21.3
8.1,18.6
9.1,22.2
9.2,18.2
8.2,18.4
7.6,21.4
7.4,18.7
8.4,18.8
8.1,19.3
7.7,18.0
8.0,22.1
7.4,21.2
8.7,19.9
7.6,19.8
9.2,20.9
8.4,23.5
8.6,21.7
6.9,19.0
8.2,21.6
8.7,19.8
7.0,19.6
7.7,23.7
8.0,19.2
6.6,19.0
8.3,16.1
8.8,17.2
7.1,20.9
8.4,18.6
6.7,21.0
8.0,17.8
6.4,18.5
9.1,21.3
8.4,22.9
8.0,21.2
7.2,22.4
9.3,23.4
10.0,22.1
6.1,18.2
9.2,19.8
9.6,21.3
8.3,19.2
6.8,20.9
8.9,16.8
7.8,18.3
7.4,21.1
6.8,15.5
8.6,17.8
8.8,20.0
7.4,16.6
8.5,20.1
6.9,18.4
8.8,19.4
8.0,19.5
7.8,20.4
7.9,18.9
8.9,20.2
8.8,18.8
8.5,21.1
8.1,23.4
8.1,20.4
8.6,20.3
8.2,17.7
8.7,21.4
7.7,18.5
5.6,18.4
9.0,21.1
10.2,20.4
8.4,22.2
7.9,22.9
7.9,18.9
7.9,20.3
8.0,23.5
6.9,21.9
7.5,21.4
7.0,22.6
8.2,18.8
7.7,21.3
8.5,22.8
7.8,23.2
9.0,18.4
8.2,19.5
10.2,20.8
6.1,19.4
7.4,19.2
8.9,21.4
10.5,19.3
7.8,16.4
8.0,20.7
7.8,19.2
9.3,18.5
7.7,16.9
8.7,22.0
7.7,15.5
6.7,16.6
8.3,19.4
8.5,22.5
9.3,22.6
7.9,17.7
7.4,19.6
8.6,17.0
8.2,22.0
8.3,17.0
7.9,19.7
9.2,22.1
8.4,19.6
9.9,22.9
9.1,18.3
8.7,20.7
6.4,21.7
8.6,19.7
8.4,22.8
8.8,21.1
9.0,16.7
7.6,27.9
8.8,21.3
7.4,20.2
10.0,17.2
6.7,20.2
6.2,19.1
6.3,21.3
7.1,20.7
6.9,23.7
10.0,20.3
7.7,21.0
6.7,20.7
9.1,19.7
7.4,19.6
6.8,22.2
8.9,21.6
8.6,18.7
7.6,17.8
9.4,19.9
8.1,22.3
9.6,19.9
8.5,23.5
9.6,18.4
8.1,20.3
6.8,15.0
10.4,18.8
7.5,19.4
7.8,21.0
7.3,23.4
7.8,20.1
8.2,22.9
8.2,21.3
8.7,22.0
9.8,19.1
7.9,22.8
6.8,17.9
6.8,21.0
7.3,18.1
6.3,19.0
8.8,17.1
7.5,19.0
7.7,20.7
8.0,19.9
6.6,17.3
7.1,22.9
8.7,20.7
8.6,22.0
7.6,21.6
9.8,18.7
6.7,16.1
7.7,18.2
7.8,22.5
5.2,17.9
9.9,21.6
8.4,18.8
7.0,20.8
10.1,16.4
8.6,22.3
8.4,19.9
7.4,21.8
8.1,20.4
6.5,21.6
8.8,19.8
7.6,21.5
8.1,17.0
9.2,17.8
8.3,21.5
8.3,19.9
8.3,19.5
7.3,19.6
8.8,21.0
9.5,18.8
8.8,21.0
8.9,18.2
7.1,19.2
7.1,22.0
6.6,22.1
9.2,17.8
7.7,21.7
9.4,17.9
7.2,21.5
7.6,16.2
8.1,17.8
8.9,19.0
8.1,19.7
8.2,22.8
8.0,21.8
8.2,23.2
6.9,22.4
8.1,19.4
7.8,19.5
7.9,22.1
8.5,20.1
7.3,19.7
7.9,17.3
7.7,19.8
8.4,14.4
8.8,19.1
7.0,18.0
8.6,21.4
10.1,19.0
6.5,19.3
7.2,22.7
7.1,17.9
7.7,20.6
9.6,16.2
8.0,20.2
7.3,20.8
8.6,21.7
7.4,18.2
9.1,20.6
8.3,20.6
9.4,20.0
7.3,20.3
11.0,20.9
8.8,20.8
8.7,18.0
7.9,17.6
7.3,25.0
7.1,23.8
7.9,17.2
7.2,20.9
8.3,21.3
7.2,21.5
8.6,20.3
9.0,18.1
7.3,19.6
9.2,19.0
7.8,20.3
9.2,19.5
8.4,19.7
9.1,22.0
7.0,22.5
7.9,17.6
9.5,19.1
7.4,18.4
6.0,22.4
6.1,19.9
5.5,22.9
5.9,19.0
7.6,20.1
9.3,17.3
7.6,22.6
8.3,19.3
7.9,17.0
8.0,18.8
7.8,15.4
7.8,19.9
8.5,20.2
6.8,20.6
9.0,23.0
8.9,19.4
7.8,21.6
8.8,20.6
7.3,19.6
7.5,15.8
8.2,21.9
7.8,19.0
7.6,20.0
7.3,17.5
7.4,20.6
8.9,20.2
6.1,20.1
8.4,19.7
7.8,22.1
