Datum;Temperatur;Oelverbrauch
2024-01-01;-5.39;109.34
2024-01-02;-5.48;109.22
2024-01-03;-5.11;109.10
2024-01-04;-0.98;108.97
2024-01-05;-5.05;108.83
2024-01-06;-11.83;108.69
2024-01-07;-2.60;108.53
2024-01-08;-5.52;108.37
2024-01-09;-5.18;108.20
2024-01-10;-3.43;108.02
2024-01-11;-2.75;107.83
2024-01-12;2.00;107.63
2024-01-13;-0.43;107.42
2024-01-14;-3.05;107.21
2024-01-15;-7.19;106.99
2024-01-16;-8.45;106.76
2024-01-17;-2.03;106.52
2024-01-18;3.42;106.28
2024-01-19;-2.80;106.02
2024-01-20;-3.41;105.76
2024-01-21;-0.09;105.49
2024-01-22;-9.88;105.22
2024-01-23;-4.03;104.94
2024-01-24;0.13;104.64
2024-01-25;2.19;104.35
2024-01-26;-3.22;104.04
2024-01-27;0.02;103.73
2024-01-28;-0.46;103.41
2024-01-29;2.37;103.08
2024-01-30;-6.94;102.75
2024-01-31;1.64;102.41
2024-02-01;-8.60;102.06
2024-02-02;-13.95;101.71
2024-02-03;-3.71;101.35
2024-02-04;-5.07;100.98
2024-02-05;4.07;100.61
2024-02-06;3.20;100.23
2024-02-07;-6.02;99.85
2024-02-08;4.51;99.46
2024-02-09;-4.54;99.06
2024-02-10;0.24;98.66
2024-02-11;-0.60;98.25
2024-02-12;1.65;97.84
2024-02-13;5.38;97.42
2024-02-14;4.69;97.00
2024-02-15;3.46;96.57
2024-02-16;5.18;96.14
2024-02-17;4.54;95.70
2024-02-18;-0.76;95.26
2024-02-19;-0.99;94.81
2024-02-20;0.47;94.36
2024-02-21;5.54;93.91
2024-02-22;2.03;93.45
2024-02-23;15.19;92.98
2024-02-24;-0.35;92.52
2024-02-25;-1.52;92.04
2024-02-26;8.06;91.57
2024-02-27;11.56;91.09
2024-02-28;7.22;90.61
2024-02-29;9.12;90.13
2024-03-01;12.31;89.64
2024-03-02;4.96;89.15
2024-03-03;-1.44;88.65
2024-03-04;3.26;88.16
2024-03-05;10.93;87.66
2024-03-06;-0.80;87.16
2024-03-07;6.84;86.66
2024-03-08;8.19;86.15
2024-03-09;5.60;85.65
2024-03-10;11.05;85.14
2024-03-11;10.59;84.63
2024-03-12;19.55;84.12
2024-03-13;11.30;83.61
2024-03-14;5.41;83.09
2024-03-15;5.90;82.58
2024-03-16;4.81;82.06
2024-03-17;13.99;81.55
2024-03-18;6.65;81.03
2024-03-19;9.39;80.52
2024-03-20;13.75;80.00
2024-03-21;6.64;79.48
2024-03-22;9.05;78.97
2024-03-23;1.57;78.45
2024-03-24;5.62;77.94
2024-03-25;8.45;77.42
2024-03-26;13.63;76.91
2024-03-27;17.77;76.39
2024-03-28;11.97;75.88
2024-03-29;13.62;75.37
2024-03-30;13.41;74.86
2024-03-31;18.25;74.35
2024-04-01;17.54;73.85
2024-04-02;14.70;73.34
2024-04-03;8.53;72.84
2024-04-04;18.35;72.34
2024-04-05;15.98;71.84
2024-04-06;20.46;71.35
2024-04-07;14.42;70.85
2024-04-08;24.58;70.36
2024-04-09;13.27;69.87
2024-04-10;23.27;69.39
2024-04-11;16.12;68.91
2024-04-12;13.20;68.43
2024-04-13;10.38;67.96
2024-04-14;15.50;67.48
2024-04-15;23.61;67.02
2024-04-16;20.81;66.55
2024-04-17;20.40;66.09
2024-04-18;5.30;65.64
2024-04-19;20.96;65.19
2024-04-20;20.41;64.74
2024-04-21;15.10;64.30
2024-04-22;14.93;63.86
2024-04-23;18.27;63.43
2024-04-24;27.12;63.00
2024-04-25;13.44;62.58
2024-04-26;16.78;62.16
2024-04-27;25.94;61.75
2024-04-28;17.10;61.34
2024-04-29;17.71;60.94
2024-04-30;20.22;60.54
2024-05-01;13.72;60.15
2024-05-02;21.22;59.77
2024-05-03;14.26;59.39
2024-05-04;24.92;59.02
2024-05-05;20.69;58.65
2024-05-06;32.27;58.29
2024-05-07;22.44;57.94
2024-05-08;28.03;57.59
2024-05-09;14.86;57.25
2024-05-10;20.93;56.92
2024-05-11;23.32;56.59
2024-05-12;30.59;56.27
2024-05-13;13.62;55.96
2024-05-14;27.13;55.65
2024-05-15;25.28;55.36
2024-05-16;30.14;55.06
2024-05-17;26.17;54.78
2024-05-18;23.01;54.51
2024-05-19;20.27;54.24
2024-05-20;16.77;53.98
2024-05-21;24.12;53.72
2024-05-22;22.30;53.48
2024-05-23;33.48;53.24
2024-05-24;20.44;53.01
2024-05-25;25.21;52.79
2024-05-26;15.87;52.58
2024-05-27;21.84;52.37
2024-05-28;25.22;52.17
2024-05-29;28.13;51.98
2024-05-30;31.34;51.80
2024-05-31;23.96;51.63
2024-06-01;18.68;51.47
2024-06-02;26.63;51.31
2024-06-03;27.00;51.17
2024-06-04;26.94;51.03
2024-06-05;21.05;50.90
2024-06-06;30.28;50.78
2024-06-07;25.11;50.66
2024-06-08;28.22;50.56
2024-06-09;31.14;50.47
2024-06-10;27.86;50.38
2024-06-11;26.28;50.30
2024-06-12;35.65;50.23
2024-06-13;26.13;50.17
2024-06-14;23.46;50.12
2024-06-15;25.52;50.08
2024-06-16;32.39;50.05
2024-06-17;25.58;50.02
2024-06-18;27.59;50.01
2024-06-19;30.98;50.00
2024-06-20;22.43;50.00
2024-06-21;16.36;50.01
2024-06-22;26.48;50.03
2024-06-23;26.12;50.06
2024-06-24;21.91;50.10
2024-06-25;29.28;50.15
2024-06-26;27.94;50.20
2024-06-27;19.89;50.27
2024-06-28;27.42;50.34
2024-06-29;23.81;50.42
2024-06-30;17.33;50.51
2024-07-01;26.96;50.61
2024-07-02;24.41;50.72
2024-07-03;20.86;50.84
2024-07-04;27.13;50.96
2024-07-05;26.89;51.10
2024-07-06;21.49;51.24
2024-07-07;26.31;51.39
2024-07-08;29.30;51.55
2024-07-09;20.58;51.72
2024-07-10;25.96;51.89
2024-07-11;23.97;52.08
2024-07-12;35.19;52.27
2024-07-13;14.45;52.47
2024-07-14;27.14;52.68
2024-07-15;22.02;52.90
2024-07-16;22.94;53.12
2024-07-17;32.83;53.36
2024-07-18;23.16;53.60
2024-07-19;34.28;53.85
2024-07-20;20.74;54.11
2024-07-21;24.57;54.37
2024-07-22;20.22;54.64
2024-07-23;19.09;54.92
2024-07-24;22.71;55.21
2024-07-25;20.84;55.50
2024-07-26;23.11;55.81
2024-07-27;11.42;56.11
2024-07-28;31.80;56.43
2024-07-29;20.79;56.75
2024-07-30;30.17;57.08
2024-07-31;16.25;57.42
2024-08-01;22.58;57.76
2024-08-02;36.77;58.11
2024-08-03;16.42;58.47
2024-08-04;13.11;58.83
2024-08-05;17.67;59.20
2024-08-06;22.57;59.58
2024-08-07;23.49;59.96
2024-08-08;26.28;60.35
2024-08-09;18.35;60.74
2024-08-10;11.42;61.14
2024-08-11;17.05;61.54
2024-08-12;25.23;61.95
2024-08-13;21.15;62.37
2024-08-14;8.82;62.79
2024-08-15;18.22;63.21
2024-08-16;25.17;63.64
2024-08-17;28.59;64.08
2024-08-18;20.55;64.52
2024-08-19;19.07;64.96
2024-08-20;11.09;65.41
2024-08-21;12.85;65.87
2024-08-22;17.07;66.32
2024-08-23;19.12;66.78
2024-08-24;19.28;67.25
2024-08-25;13.75;67.72
2024-08-26;10.14;68.19
2024-08-27;11.78;68.67
2024-08-28;9.64;69.15
2024-08-29;18.40;69.63
2024-08-30;3.38;70.12
2024-08-31;13.03;70.61
2024-09-01;16.70;71.10
2024-09-02;21.81;71.59
2024-09-03;14.31;72.09
2024-09-04;18.71;72.59
2024-09-05;11.46;73.09
2024-09-06;9.48;73.59
2024-09-07;9.58;74.10
2024-09-08;20.33;74.61
2024-09-09;17.41;75.12
2024-09-10;14.62;75.63
2024-09-11;28.58;76.14
2024-09-12;11.51;76.65
2024-09-13;14.52;77.16
2024-09-14;12.70;77.68
2024-09-15;9.79;78.19
2024-09-16;22.23;78.71
2024-09-17;17.92;79.23
2024-09-18;3.13;79.74
2024-09-19;7.87;80.26
2024-09-20;11.75;80.77
2024-09-21;13.27;81.29
2024-09-22;2.35;81.81
2024-09-23;-2.44;82.32
2024-09-24;-0.95;82.84
2024-09-25;7.97;83.35
2024-09-26;7.55;83.86
2024-09-27;9.54;84.37
2024-09-28;3.71;84.88
2024-09-29;1.18;85.39
2024-09-30;-3.07;85.90
2024-10-01;8.44;86.41
2024-10-02;8.40;86.91
2024-10-03;11.26;87.41
2024-10-04;10.00;87.91
2024-10-05;4.84;88.41
2024-10-06;12.30;88.90
2024-10-07;4.62;89.39
2024-10-08;1.75;89.88
2024-10-09;2.21;90.37
2024-10-10;1.65;90.85
2024-10-11;-6.49;91.33
2024-10-12;4.88;91.81
2024-10-13;5.11;92.28
2024-10-14;1.81;92.75
2024-10-15;-0.18;93.22
2024-10-16;5.02;93.68
2024-10-17;11.52;94.13
2024-10-18;2.90;94.59
2024-10-19;-0.06;95.04
2024-10-20;-0.70;95.48
2024-10-21;1.69;95.92
2024-10-22;-4.50;96.36
2024-10-23;0.98;96.79
2024-10-24;1.70;97.21
2024-10-25;10.41;97.63
2024-10-26;5.69;98.05
2024-10-27;5.94;98.46
2024-10-28;-3.00;98.86
2024-10-29;3.72;99.26
2024-10-30;-5.52;99.65
2024-10-31;1.54;100.04
2024-11-01;1.88;100.42
2024-11-02;-4.23;100.80
2024-11-03;9.41;101.17
2024-11-04;2.07;101.53
2024-11-05;-10.46;101.89
2024-11-06;1.65;102.24
2024-11-07;-3.33;102.58
2024-11-08;-1.45;102.92
2024-11-09;0.71;103.25
2024-11-10;0.17;103.57
2024-11-11;-12.14;103.89
2024-11-12;-7.89;104.19
2024-11-13;1.62;104.50
2024-11-14;4.11;104.79
2024-11-15;6.98;105.08
2024-11-16;6.34;105.36
2024-11-17;-13.09;105.63
