Datum;Tagestemperatur
2024-01-01;18.99
2024-01-02;17.72
2024-01-03;19.3
2024-01-04;21.05
2024-01-05;17.53
2024-01-06;17.53
2024-01-07;21.16
2024-01-08;19.53
2024-01-09;17.06
2024-01-10;19.09
2024-01-11;17.07
2024-01-12;17.07
2024-01-13;18.48
2024-01-14;14.17
2024-01-15;14.55
2024-01-16;16.88
2024-01-17;15.97
2024-01-18;18.63
2024-01-19;16.18
2024-01-20;15.18
2024-01-21;20.93
2024-01-22;17.55
2024-01-23;18.14
2024-01-24;15.15
2024-01-25;16.91
2024-01-26;18.22
2024-01-27;15.7
2024-01-28;18.75
2024-01-29;16.8
2024-01-30;17.42
2024-01-31;16.8
2024-02-01;21.7
2024-02-02;17.97
2024-02-03;15.88
2024-02-04;19.65
2024-02-05;15.56
2024-02-06;18.42
2024-02-07;14.08
2024-02-08;15.34
2024-02-09;18.39
2024-02-10;19.48
2024-02-11;18.34
2024-02-12;17.77
2024-02-13;17.4
2024-02-14;15.04
2024-02-15;16.56
2024-02-16;17.08
2024-02-17;20.11
2024-02-18;18.69
2024-02-19;14.47
2024-02-20;18.65
2024-02-21;17.23
2024-02-22;16.65
2024-02-23;19.22
2024-02-24;20.06
2024-02-25;19.86
2024-02-26;16.32
2024-02-27;17.38
2024-02-28;18.66
2024-02-29;19.95
2024-03-01;17.04
2024-03-02;17.63
2024-03-03;15.79
2024-03-04;15.61
2024-03-05;19.63
2024-03-06;20.71
2024-03-07;17.86
2024-03-08;20.01
2024-03-09;18.72
2024-03-10;16.71
2024-03-11;18.72
2024-03-12;21.08
2024-03-13;17.93
2024-03-14;21.13
2024-03-15;12.76
2024-03-16;19.64
2024-03-17;18.17
2024-03-18;17.4
2024-03-19;18.18
2024-03-20;14.02
2024-03-21;17.56
2024-03-22;18.71
2024-03-23;20.96
2024-03-24;16.96
2024-03-25;16.38
2024-03-26;17.0
2024-03-27;19.83
2024-03-28;18.66
2024-03-29;16.94
2024-03-30;19.03
2024-03-31;18.19
2024-04-01;19.94
2024-04-02;16.6
2024-04-03;17.34
2024-04-04;17.22
2024-04-05;15.07
2024-04-06;18.59
2024-04-07;18.52
2024-04-08;18.01
2024-04-09;17.53
2024-04-10;15.17
2024-04-11;17.16
2024-04-12;17.31
2024-04-13;16.4
2024-04-14;17.68
2024-04-15;18.81
2024-04-16;21.77
2024-04-17;18.35
2024-04-18;18.52
2024-04-19;17.85
2024-04-20;14.16
2024-04-21;17.95
2024-04-22;18.12
2024-04-23;22.93
2024-04-24;17.62
2024-04-25;18.6
2024-04-26;17.93
2024-04-27;15.66
2024-04-28;20.29
2024-04-29;19.5
2024-04-30;19.58
2024-05-01;16.18
2024-05-02;20.81
2024-05-03;15.2
2024-05-04;19.17
2024-05-05;22.38
2024-05-06;16.02
2024-05-07;16.87
2024-05-08;18.2
2024-05-09;16.99
2024-05-10;14.9
2024-05-11;18.14
2024-05-12;15.88
2024-05-13;18.95
2024-05-14;16.16
2024-05-15;21.1
2024-05-16;16.43
2024-05-17;17.36
2024-05-18;19.63
2024-05-19;15.54
2024-05-20;18.45
2024-05-21;20.61
2024-05-22;14.79
2024-05-23;18.37
2024-05-24;18.52
2024-05-25;19.56
2024-05-26;15.53
2024-05-27;15.36
2024-05-28;19.04
2024-05-29;18.59
2024-05-30;18.5
2024-05-31;18.69
2024-06-01;16.64
2024-06-02;18.46
2024-06-03;18.59
2024-06-04;16.57
2024-06-05;21.73
2024-06-06;18.95
2024-06-07;15.62
2024-06-08;19.31
2024-06-09;16.05
2024-06-10;19.57
2024-06-11;20.32
2024-06-12;16.36
2024-06-13;19.93
2024-06-14;18.83
2024-06-15;19.64
2024-06-16;21.79
2024-06-17;17.51
2024-06-18;16.49
2024-06-19;16.22
2024-06-20;16.37
2024-06-21;17.85
2024-06-22;18.68
2024-06-23;18.55
2024-06-24;19.65
2024-06-25;18.03
2024-06-26;20.91
2024-06-27;17.47
2024-06-28;23.44
2024-06-29;19.25
2024-06-30;16.29
2024-07-01;15.86
2024-07-02;18.96
2024-07-03;17.55
2024-07-04;19.43
2024-07-05;18.95
2024-07-06;17.85
2024-07-07;16.31
2024-07-08;14.97
2024-07-09;17.11
2024-07-10;19.71
2024-07-11;18.43
2024-07-12;15.51
2024-07-13;18.35
2024-07-14;18.77
2024-07-15;16.23
2024-07-16;18.31
2024-07-17;18.12
2024-07-18;15.71
2024-07-19;18.72
2024-07-20;19.12
2024-07-21;20.17
2024-07-22;20.11
2024-07-23;15.24
2024-07-24;16.12
2024-07-25;19.03
2024-07-26;19.03
2024-07-27;19.03
2024-07-28;25.71
2024-07-29;19.14
2024-07-30;20.27
2024-07-31;19.91
2024-08-01;19.3
2024-08-02;17.37
2024-08-03;19.52
2024-08-04;16.45
2024-08-05;17.53
2024-08-06;17.03
2024-08-07;18.16
2024-08-08;22.63
2024-08-09;14.27
2024-08-10;19.37
2024-08-11;14.77
2024-08-12;17.06
2024-08-13;20.18
2024-08-14;18.13
2024-08-15;15.84
2024-08-16;16.57
2024-08-17;19.36
2024-08-18;16.54
2024-08-19;18.43
2024-08-20;18.09
2024-08-21;16.7
2024-08-22;22.29
2024-08-23;19.27
2024-08-24;13.95
2024-08-25;18.37
2024-08-26;16.68
2024-08-27;19.7
2024-08-28;16.41
2024-08-29;17.77
2024-08-30;19.01
2024-08-31;19.73
2024-09-01;15.6
2024-09-02;17.33
2024-09-03;17.05
2024-09-04;16.69
2024-09-05;21.53
2024-09-06;18.81
2024-09-07;15.48
2024-09-08;19.84
2024-09-09;22.24
2024-09-10;20.06
2024-09-11;14.96
2024-09-12;17.03
2024-09-13;20.53
2024-09-14;16.58
2024-09-15;18.89
2024-09-16;19.55
2024-09-17;16.15
2024-09-18;17.88
2024-09-19;11.52
2024-09-20;15.95
2024-09-21;17.49
2024-09-22;15.5
2024-09-23;21.26
2024-09-24;15.14
2024-09-25;17.12
2024-09-26;18.26
2024-09-27;20.88
2024-09-28;15.13
2024-09-29;20.33
2024-09-30;18.02
2024-10-01;16.04
2024-10-02;18.92
2024-10-03;18.4
2024-10-04;16.8
2024-10-05;18.14
2024-10-06;17.23
2024-10-07;18.23
2024-10-08;19.32
2024-10-09;21.17
2024-10-10;15.52
2024-10-11;22.27
2024-10-12;14.1
2024-10-13;17.7
2024-10-14;19.18
2024-10-15;18.56
2024-10-16;16.75
2024-10-17;17.58
2024-10-18;17.01
2024-10-19;16.82
2024-10-20;19.7
2024-10-21;18.71
2024-10-22;16.61
2024-10-23;19.8
2024-10-24;18.61
2024-10-25;19.63
2024-10-26;19.26
2024-10-27;16.34
2024-10-28;16.88
2024-10-29;19.49
2024-10-30;19.22
2024-10-31;17.96
2024-11-01;18.23
2024-11-02;20.56
2024-11-03;16.82
2024-11-04;19.09
2024-11-05;17.6
2024-11-06;17.56
2024-11-07;20.2
2024-11-08;19.65
2024-11-09;19.63
2024-11-10;20.61
